
	### Stoffdaten Luft bei p = 1 bar

### Entnommen aus VDI-Wärmeatlas

 T [°C]		| rho [kg/m^3]| cp[J/(kg K)]	| lambda [10 ^-3 W/mK]	| eta [10^-6 Pa*s]	| ny [10^-7 m^2/s]	| Pr [-]
	|			|			|				|				|				|
 0	| 1.2758	| 1005.9	| 24.360		| 17.218		| 135.0			| 0.7110
 10	| 1.2306	| 1006.1	| 25.121		| 17.715		| 144.0			| 0.7095
 20	| 1.1885	| 1006.4	| 25.873		| 18.205		| 153.2			| 0.7081
 30	| 1.1492	| 1006.7	| 26.618		| 18.689		| 162.6			| 0.7068
 40	| 1.1124	| 1007.1	| 27.354		| 19.165		| 172.3			| 0.7056
 50	| 1.0779	| 1007.7	| 28.082		| 19.635		| 182.2			| 0.7045
 60	| 1.0455	| 1008.2	| 28.804		| 20.099		| 192.2			| 0.7035
 70	| 1.0150	| 1008.9	| 29.518		| 20.557		| 202.5			| 0.7026
 80	| 0.9862	| 1009.7	| 30.225		| 21.009		| 213.0			| 0.7018
 90	| 0.9590	| 1010.5	| 30.925		| 21.455		| 223.7			| 0.7011
 100| 0.9333	| 1011.5	| 31.620		| 21.896		| 234.6			| 0.7004
 120| 0.8858	| 1013.6	| 32.989		| 22.763		| 257.0			| 0.6994
 140| 0.8428	| 1016.0	| 34.336		| 23.610		| 280.1			| 0.6986
 160| 0.8039	| 1018.8	| 35.660		| 24.439		| 304.0			| 0.6982
 180| 0.7684	| 1021.8	| 36.964		| 25.251		| 328.6			| 0.6980
 200| 0.7359	| 1025.2	| 38.248		| 26.046		| 353.9			| 0.6981
	|			|			|				|				|				|
 700| 0.3578	| 1136.1	| 66.312		| 42.517		| 1188.3		| 0.7284
